Epoch : 23 Iter : 0 VAT_l_f Loss : tensor(8.2163e-08, device='cuda:0') Meta Loss : tensor(2.3510, device='cuda:0')
Epoch : 23 Iter : 100 VAT_l_f Loss : tensor(1.4728e-07, device='cuda:0') Meta Loss : tensor(2.3878, device='cuda:0')
Epoch : 23 Iter : 200 VAT_l_f Loss : tensor(-4.9789e-08, device='cuda:0') Meta Loss : tensor(2.2487, device='cuda:0')
Epoch : 23 Iter : 300 VAT_l_f Loss : tensor(-5.9176e-08, device='cuda:0') Meta Loss : tensor(2.2920, device='cuda:0')
Epoch : 24 Iter : 0 VAT_l_f Loss : tensor(5.3748e-08, device='cuda:0') Meta Loss : tensor(2.2789, device='cuda:0')
Epoch : 24 Iter : 100 VAT_l_f Loss : tensor(-2.5862e-08, device='cuda:0') Meta Loss : tensor(2.3655, device='cuda:0')
Epoch : 24 Iter : 200 VAT_l_f Loss : tensor(4.6445e-08, device='cuda:0') Meta Loss : tensor(2.3553, device='cuda:0')
Epoch : 24 Iter : 300 VAT_l_f Loss : tensor(3.2359e-08, device='cuda:0') Meta Loss : tensor(2.3389, device='cuda:0')
Epoch : 25 Iter : 0 VAT_l_f Loss : tensor(5.5123e-07, device='cuda:0') Meta Loss : tensor(2.3373, device='cuda:0')
Epoch : 25 Iter : 100 VAT_l_f Loss : tensor(4.7347e-09, device='cuda:0') Meta Loss : tensor(2.2672, device='cuda:0')
Epoch : 25 Iter : 200 VAT_l_f Loss : tensor(2.4849e-08, device='cuda:0') Meta Loss : tensor(2.3170, device='cuda:0')
Epoch : 25 Iter : 300 VAT_l_f Loss : tensor(3.5029e-08, device='cuda:0') Meta Loss : tensor(2.3124, device='cuda:0')
Train accuracy : tensor(0.0938, device='cuda:0')
Test accuracy : tensor(0.1600, device='cuda:0')
Epoch : 26 Iter : 0 VAT_l_f Loss : tensor(1.7570e-08, device='cuda:0') Meta Loss : tensor(2.3000, device='cuda:0')
