Files already downloaded and verified
Files already downloaded and verified
Epoch : 16 Iter : 100 VAT_l_f Loss : tensor(3.2738, device='cuda:0') Meta Loss : tensor(0.9971, device='cuda:0')
Epoch : 16 Iter : 200 VAT_l_f Loss : tensor(3.3428, device='cuda:0') Meta Loss : tensor(0.9955, device='cuda:0')
Epoch : 16 Iter : 300 VAT_l_f Loss : tensor(3.5575, device='cuda:0') Meta Loss : tensor(0.9489, device='cuda:0')
Epoch : 17 Iter : 0 VAT_l_f Loss : tensor(3.3404, device='cuda:0') Meta Loss : tensor(0.9803, device='cuda:0')
Epoch : 17 Iter : 100 VAT_l_f Loss : tensor(3.3303, device='cuda:0') Meta Loss : tensor(0.9833, device='cuda:0')
Epoch : 17 Iter : 200 VAT_l_f Loss : tensor(3.3593, device='cuda:0') Meta Loss : tensor(0.9718, device='cuda:0')
Epoch : 17 Iter : 300 VAT_l_f Loss : tensor(2.9246, device='cuda:0') Meta Loss : tensor(1.0179, device='cuda:0')
Epoch : 18 Iter : 0 VAT_l_f Loss : tensor(3.5069, device='cuda:0') Meta Loss : tensor(0.9636, device='cuda:0')
Epoch : 18 Iter : 100 VAT_l_f Loss : tensor(3.5043, device='cuda:0') Meta Loss : tensor(0.9557, device='cuda:0')
Epoch : 18 Iter : 200 VAT_l_f Loss : tensor(3.6829, device='cuda:0') Meta Loss : tensor(1.0081, device='cuda:0')
Epoch : 18 Iter : 300 VAT_l_f Loss : tensor(3.2226, device='cuda:0') Meta Loss : tensor(0.9592, device='cuda:0')
Epoch : 19 Iter : 0 VAT_l_f Loss : tensor(3.6144, device='cuda:0') Meta Loss : tensor(0.9786, device='cuda:0')
Epoch : 19 Iter : 100 VAT_l_f Loss : tensor(3.1732, device='cuda:0') Meta Loss : tensor(0.9684, device='cuda:0')
Epoch : 19 Iter : 200 VAT_l_f Loss : tensor(3.4100, device='cuda:0') Meta Loss : tensor(0.9566, device='cuda:0')
Epoch : 19 Iter : 300 VAT_l_f Loss : tensor(3.3722, device='cuda:0') Meta Loss : tensor(0.9614, device='cuda:0')
Epoch : 20 Iter : 0 VAT_l_f Loss : tensor(3.3858, device='cuda:0') Meta Loss : tensor(0.9393, device='cuda:0')
Epoch : 20 Iter : 100 VAT_l_f Loss : tensor(3.6215, device='cuda:0') Meta Loss : tensor(0.9725, device='cuda:0')
Epoch : 20 Iter : 200 VAT_l_f Loss : tensor(3.0663, device='cuda:0') Meta Loss : tensor(0.9076, device='cuda:0')
Epoch : 20 Iter : 300 VAT_l_f Loss : tensor(3.3227, device='cuda:0') Meta Loss : tensor(0.9488, device='cuda:0')
Train accuracy : tensor(0.8438, device='cuda:0')
Test accuracy : tensor(0.6900, device='cuda:0')
Epoch : 21 Iter : 0 VAT_l_f Loss : tensor(3.2700, device='cuda:0') Meta Loss : tensor(0.8886, device='cuda:0')
Epoch : 21 Iter : 100 VAT_l_f Loss : tensor(3.3889, device='cuda:0') Meta Loss : tensor(0.9818, device='cuda:0')
Epoch : 21 Iter : 200 VAT_l_f Loss : tensor(3.0048, device='cuda:0') Meta Loss : tensor(0.9296, device='cuda:0')
Epoch : 21 Iter : 300 VAT_l_f Loss : tensor(3.2337, device='cuda:0') Meta Loss : tensor(0.8713, device='cuda:0')
Epoch : 22 Iter : 0 VAT_l_f Loss : tensor(3.2993, device='cuda:0') Meta Loss : tensor(0.9751, device='cuda:0')
